(7b8f,cacd) (596f,cacd)
(9d9f,9fd1) (8d37,9fd1)
(f6b,51e47) (42d3,51e47)
(edd7,15d91) (cd67,15d91)
(3703,1628f) (12253,1628f)
(5d45,8cbf) (25ed,8cbf)
(2eb61,66799) (a8f1,66799)
(1ad37,5fe09) (58717,5fe09)
(619,3431) (13b1,3431)
(2e0d,1b5f5) (15c01,1b5f5)
(1cca3,8acbb) (3864b,8acbb)
(3ac1,a54f) (a259,a54f)
(3a301,8df0b) (3c701,8df0b)
(922d,2ea1b) (125d5,2ea1b)
(40d9,8bc3) (a19,8bc3)
(4b913,e6a77) (4c73b,e6a77)
(83ad,1cdd5) (1819,1cdd5)
(16f9,5bed) (2149,5bed)
(2a001,3e17d) (1d3c5,3e17d)
(199d,3617) (6c5,3617)
(5303,39fbb) (2f67b,39fbb)
(63e6b,7b3a1) (50857,7b3a1)
(2298d,3bd07) (2fd85,3bd07)
(105a1,1f44d) (a139,1f44d)
(a7767,b8615) (9b797,b8615)
(4d3e1,9ff71) (3ad2d,9ff71)
(44c65,581b3) (5026d,581b3)
(2808d,408c5) (31921,408c5)
(bb6f,49da7) (1f1d7,49da7)
(a2b3,1e215) (26f3,1e215)
(2c4f,10807) (20af,10807)
(47,fcef) (a877,fcef)
(2705,2c71) (5f9,2c71)
(5c813,bf0d5) (bd0d7,bf0d5)
(20fc5,2257d) (e3d1,2257d)
(3b33,7eb5) (170f,7eb5)
(548e3,6e48f) (42733,6e48f)
(23e9,4a9b) (3969,4a9b)
(15c7,3a19) (1c03,3a19)
(57a7,2ad8d) (779f,2ad8d)
(4e643,5d30d) (27aa7,5d30d)
(51c5,76ff) (18d,76ff)
(1c12d,4ba99) (193d,4ba99)
(14305,3e9c9) (1044d,3e9c9)
(1ba3,4189) (b9b,4189)
(24463,3c2a5) (12c8b,3c2a5)
(129f5,1850f) (d6fd,1850f)
(48d33,4e9af) (8143,4e9af)
(124cd,1f82f) (12185,1f82f)
(b741,132e3) (32b1,132e3)
(3f467,8c725) (2ff57,8c725)
(1c0e1,eb603) (2de59,eb603)
(27c55,3e227) (31c5d,3e227)
(24aab,25249) (723b,25249)
(1333,25153) (1fdfb,25153)
(3f93d,6cb99) (23cf5,6cb99)
(7315,f3cb) (813d,f3cb)
(5837,68f5) (6287,68f5)
(c1df,6c563) (48ef,6c563)
(1ea25,4bfd3) (ce15,4bfd3)
(1ee47,3727d) (8377,3727d)
(45d2d,52943) (5fc5,52943)
(2a703,a4447) (956cb,a4447)
(4dbe5,57001) (28ebd,57001)
(d711,1a0b7) (2f59,1a0b7)
(2d90b,32821) (17943,32821)
(1e139,24ee3) (1af29,24ee3)
(1b5c3,1ce7d) (b2eb,1ce7d)
(2815,166b7) (18c5,166b7)
(170e7,39d31) (3870b,39d31)
(324b,dfdf) (5f63,dfdf)
(3905,16d21) (fcdd,16d21)
(10a0b,11da3) (65e3,11da3)
(1c6d,3fb5) (199,3fb5)
(6431,22dab) (1bb99,22dab)
(5fa01,c8453) (3c541,c8453)
(2946d,35c17) (1baed,35c17)
(231cd,399d9) (22d05,399d9)
(8d7d,11c57) (4dbd,11c57)
(2f831,4b169) (336d1,4b169)
(120e9,138a1) (10d39,138a1)
(6385,c4cd) (a159,c4cd)
(7f85,4232f) (10505,4232f)
(72c7,26569) (b227,26569)
(24953,29575) (33fb,29575)
(d87,a66f) (417,a66f)
(17b39,18a4b) (cb89,18a4b)
(16f9d,18bf9) (39e9,18bf9)
(20075,5725d) (fe2d,5725d)
(12b23,19fc7) (673,19fc7)
(9e99,27be9) (6ec9,27be9)
(96d1,b16d) (9531,b16d)
(1e1f7,2c86f) (e747,2c86f)
(56ec7,afc91) (2ff57,afc91)
(6b9,1baf) (1859,1baf)
(35f75,c3b6b) (718fd,c3b6b)
(184cd,1ede7) (1cda5,1ede7)
(7b85,3ee3f) (1c50d,3ee3f)
(13ec3,9888d) (475ab,9888d)
(67df3,c3f1f) (a4c7b,c3f1f)
(1ba6f,269e1) (1b37,269e1)
(162d,9a2b) (195d,9a2b)
(2017,8b55) (a27,8b55)
(15b,24d) (107,24d)
(22a5f,48941) (38cef,48941)
(8a0b,9ec3) (72e3,9ec3)
(6ed1,a3a3) (8431,a3a3)
(395,abb) (82d,abb)
(13981,30b89) (21d11,30b89)
(599,763) (6a1,763)
(889,225d) (15fd,225d)
(13427,15853) (14927,15853)
(7b03,b1c7) (8cab,b1c7)
(92897,bc44f) (553f7,bc44f)
(10a71,20951) (13ef1,20951)
(1d9ed,4dad9) (1ec95,4dad9)
(4ba79,6739d) (12701,6739d)
(238d7,2fd3d) (f95b,2fd3d)
(15409,1663d) (13939,1663d)
(21d1,397c1) (7c31,397c1)
(efb7,43fb1) (30b63,43fb1)
(33b5d,6a4e7) (2a275,6a4e7)
(4a48b,9dbef) (34033,9dbef)
(60e21,86fc5) (273b9,86fc5)
(a87d,b87f) (46b5,b87f)
(4db,62a7d) (26ec3,62a7d)
(100b,8c29) (6eb3,8c29)
(f9a5,437d1) (1d235,437d1)
(67fe1,83fe9) (11821,83fe9)
(18819,1aca1) (18339,1aca1)
(4d4a5,81ff7) (459d,81ff7)
(58145,edcf5) (676cd,edcf5)
(12cbb,24da3) (d663,24da3)
(c88d,32095) (25d15,32095)
(10689,306d9) (7859,306d9)
(697,15bcf) (1363f,15bcf)
(169d3,72d61) (5dc5f,72d61)
(1091f,11f09) (1cdf,11f09)
(19dd7,56f51) (1dbe7,56f51)
(37e7,d049) (33eb,d049)
(59b9,d62b) (679,d62b)
(26a83,280a9) (143ab,280a9)
(ac5a3,ba7a5) (9548b,ba7a5)
(1baa9,20087) (cd91,20087)
(627b5,97cd5) (84421,97cd5)
(b11,178f) (14b9,178f)
(2caf5,48d27) (1203d,48d27)
(12afd,16993) (3305,16993)
(199ab,3f29f) (2a02b,3f29f)
(6cb,1705) (1b7,1705)
(2c6f3,69eff) (1bccb,69eff)
(3b1d,23e75) (6ea1,23e75)
(a1c4b,baa97) (4b623,baa97)
(42c1,b5c9) (4311,b5c9)
(46c31,d4717) (a7111,d4717)
(28d81,65c09) (28d,65c09)
(29e37,44fa5) (11963,44fa5)
(21b5,837d) (29d,837d)
(282c7,297eb) (2230f,297eb)
(5f0b,66bb3) (5bde3,66bb3)
(35cb,48d3) (35cb,48d3)
(1cd1b,30f49) (154a3,30f49)
(4ba87,56ea9) (2af37,56ea9)
(22db3,2b597) (c8bb,2b597)
(17ec7,73ead) (64763,73ead)
(2e9cf,3fb53) (247f,3fb53)
(16c5,33745) (13365,33745)
(61,20d53) (12271,20d53)
(3b71,145b5) (6085,145b5)
(392f,efef) (5bcf,efef)
(68b1,7273) (1f51,7273)
(1481,423d) (1cb5,423d)
(181a5,5d815) (2742d,5d815)
(7979,7f7f) (ec9,7f7f)
(8a29,31b71) (de89,31b71)
(ca7b,222f1) (13ff,222f1)
(5827,62c3) (c97,62c3)
(d8d11,e1d4b) (6fec9,e1d4b)
(16f13,5d7b5) (4524b,5d7b5)
(49873,4f345) (1e727,4f345)
(e89b,22801) (13bf3,22801)
(152e3,bf4fb) (128cb,bf4fb)
(5ca1,f395) (9715,f395)
(a8f7,274df) (24e47,274df)
(6793,6517f) (4cfab,6517f)
(dd3b1,e0def) (83bf1,e0def)
(2c9d5,3349f) (24695,3349f)
(46a6f,8a3bf) (50ad7,8a3bf)
(c917,cca61) (be757,cca61)
(eab9,15727) (13fe1,15727)
(48ee3,4cdf5) (47263,4cdf5)
(6bef,e7b9) (490f,e7b9)
(1bcd9,3867d) (17605,3867d)
(8815,c0fb) (a5fd,c0fb)
(b3f9,33037) (24fe9,33037)
(1a1bf,51ba5) (2e1f,51ba5)
(6fb4d,80873) (52fed,80873)
(16d45,1d99b) (dbf5,1d99b)
(3df0d,4b7e1) (2d155,4b7e1)
(467f,39979) (108c3,39979)
(3349,14d1f) (68c9,14d1f)
(233f9,46e3b) (226c1,46e3b)
(13d53,146bf) (898b,146bf)
(66d3,9859) (66c7,9859)
(2543,81cb) (66b3,81cb)
(b8039,c5831) (4fadd,c5831)
(24421,7bf8f) (63c1,7bf8f)
(6047,63a7) (5537,63a7)
(967,29e1) (2353,29e1)
(bf4b,140ab) (13043,140ab)
(415f1,42125) (3f911,42125)
(2a2f,18ccb) (cdc7,18ccb)
(20f69,72f91) (2eedd,72f91)
(1f3,1dc83) (14743,1dc83)
(83cf,9cb93) (8ca2f,9cb93)
(140db,1a72b) (e63,1a72b)
(5eb03,5f7eb) (5c743,5f7eb)
(3391,9a0d) (6ff1,9a0d)
(3a91,4a3b) (3f59,4a3b)
(17d4d,235e7) (c1b5,235e7)
(2181d,81653) (31075,81653)
(1ab9,74e9) (1f49,74e9)
(92f5,19f93) (aab5,19f93)
(670f,3a637) (1f7ef,3a637)
(141f7,41ad3) (14317,41ad3)
(e7b,17749) (5e13,17749)
(2746f,48df9) (34c0f,48df9)
(8c85,edd3) (dddd,edd3)
(ac97,3b843) (13727,3b843)
(1763,4d6f) (26c3,4d6f)
(1f55f,315d7) (1cc1f,315d7)
(52c3,992b) (8a0b,992b)
(12317,2305d) (70df,2305d)
(4becb,7afff) (6c253,7afff)
(3fd3,7789) (5757,7789)
(e623,12e6f) (7513,12e6f)
(13711,19dfb) (22c1,19dfb)
(1f5d,2105) (16f9,2105)
(29f,f33d) (347f,f33d)
(29d41,4cd6b) (4c5c1,4cd6b)
(4ecd,60a1) (33e5,60a1)
(3fa7,7417) (1c37,7417)
(2359,3af1) (204d,3af1)
(6582b,73a63) (21983,73a63)
(847,74e9) (1ac7,74e9)
(37c2d,745cd) (67be5,745cd)
(617,7a9) (137,7a9)
(377,9cb) (617,9cb)
(13101,4fd2f) (38221,4fd2f)
(381d,15e6b) (14395,15e6b)
(1ecf,2131) (166f,2131)
(14b75,207a3) (1db9d,207a3)
(3ed17,7901b) (64ba7,7901b)
(321f1,4e76d) (3e611,4e76d)
(194e9,23eb7) (35b9,23eb7)
(6253,d2c5) (9af,d2c5)
(7de9,ad15) (3c25,ad15)
(3af51,62bf9) (26eb1,62bf9)
(ff6f,62d3d) (310bb,62d3d)
(b081,3e67b) (2fb01,3e67b)
(db7,14bf) (87,14bf)
(5d401,7fb4f) (77279,7fb4f)
(211c3,22f0f) (1501b,22f0f)
(34579,4f049) (6bb9,4f049)
(1200b,5acf1) (43a6b,5acf1)
(3499,5405) (1189,5405)
(2ba1,83e3f) (409a1,83e3f)
(e7f5,13aa7) (9275,13aa7)
(3a5d,33857) (d585,33857)
(3bc29,5591b) (327d9,5591b)
(6bb,3b3bf) (23e7b,3b3bf)
(157e7,503a5) (13ad7,503a5)
(13469,2004b) (719,2004b)
(1d663,31285) (60ff,31285)
(cff1,189d1) (13f21,189d1)
(4afb,6d69) (2c23,6d69)
(4e21f,92be7) (5781f,92be7)
(f5b7,2321f) (1fae7,2321f)
(81d7,10ca5) (e3e7,10ca5)
(21373,24265) (661b,24265)
(38c9,5377) (2c39,5377)
(101db,7d21b) (64133,7d21b)
(a585,1d555) (3f6d,1d555)
(1a2d3,1fed3) (8e1b,1fed3)
(6a5,99d) (55,99d)
(32461,b9111) (a1ca1,b9111)
(1c9f5,237f1) (10739,237f1)
(35b,5161) (198b,5161)
(16d3,3eab) (2393,3eab)
(193df,2a529) (219bf,2a529)
(f1b5,fce5) (1a9d,fce5)
(7531,ba8f) (1189,ba8f)
(1a2d,5ebd) (5a89,5ebd)
(346b1,ad375) (896d1,ad375)
(3092d,33f1f) (30e15,33f1f)
(1598f,58e3d) (c6ef,58e3d)
(326e7,60deb) (15cd7,60deb)
(94cf,15c3b) (3847,15c3b)
(1036d,4a0f5) (4249d,4a0f5)
(1055,61c3) (259d,61c3)
(68dc7,7776b) (30f67,7776b)
(21ee5,27ff7) (1d695,27ff7)
(5f6ff,95c35) (5bc2b,95c35)
(16bb,107bf) (e59b,107bf)
(3ca97,439df) (b537,439df)
(5f8f,622f1) (2ab5f,622f1)
(275eb,2cdaf) (290bb,2cdaf)
(542b1,9842b) (4ca51,9842b)
(9c19,aa21) (829,aa21)
(27e0f,99cad) (7bef,99cad)
(4d65,2ded1) (86ad,2ded1)
(23291,375dd) (28cf1,375dd)
(3e39,7a0b) (2ba9,7a0b)
(a90d,1cdb1) (1a255,1cdb1)
(37a5f,3b1bb) (27d7f,3b1bb)
(2c5,b7d) (78d,b7d)
(25ab,2de5) (21c7,2de5)
(103,3ef) (23b,3ef)
(1ea63,61dfb) (1654b,61dfb)
(1106b,14f9f) (103,14f9f)
(335b,11e61) (1181b,11e61)
(cef5,19f93) (55dd,19f93)
(973,ac1f) (6efb,ac1f)
(905,a07f) (628d,a07f)
(588d,9a49) (3bf5,9a49)
(10efb,144b9) (12533,144b9)
(5d5,31d15) (1c451,31d15)
(607,1def) (13b7,1def)
(22e39,36e35) (25381,36e35)
(1b047,2914f) (13517,2914f)
(8179,3b545) (2a985,3b545)
(e77,175f) (b47,175f)
(267,29ad) (16b7,29ad)
(8d5f,14a53) (425f,14a53)
(593,22c2b) (20573,22c2b)
(b9d7,21efb) (10f57,21efb)
(49f91,71315) (57e51,71315)
(10367,2c4e9) (79f7,2c4e9)
(2327,138e3) (242f,138e3)
(3f55,3bb81) (1da49,3bb81)
(2a053,822a1) (d59b,822a1)
(17bad,49f63) (26b45,49f63)
(1385f,19b43) (eedf,19b43)
(2193d,73a63) (32b15,73a63)
(3df5f,76d6b) (60bff,76d6b)
(b497,1d6a1) (9ceb,1d6a1)
(18d7f,25907) (2d77,25907)
(a6a5,3c2a5) (2e2d,3c2a5)
(741d,f5ad) (f235,f5ad)
(10793,164b1) (b873,164b1)
(1b4ff,24119) (17adf,24119)
(539f,cbfb) (80ff,cbfb)
(cb83,1084f) (184b,1084f)
(f58f,2103d) (19e67,2103d)
(680f,2038d) (1c5b,2038d)
(53f1b,a340b) (8045b,a340b)
(330df,52f09) (375b3,52f09)
(13e1,3b369) (1cf21,3b369)
(ab67,27e83) (221a7,27e83)
(5885,13207) (e9ed,13207)
(17f8f,3aa47) (2392f,3aa47)
(5ab33,a1e5d) (6ea17,a1e5d)
(2735b,3135b) (105d3,3135b)
(10913,14821) (8ca3,14821)
(162d1,1cb4d) (173a5,1cb4d)
(1ce55,330f1) (8bd5,330f1)
(8027,41a65) (170ff,41a65)
(200f,9a19) (3953,9a19)
(8a5,4d75) (39b9,4d75)
(16fe1,1eed5) (2dfd,1eed5)
(3de19,6ce45) (3fb29,6ce45)
(6af57,77fa7) (5e547,77fa7)
(37db,30da3) (24733,30da3)
(3f037,5042f) (22387,5042f)
(45089,4e739) (12bcd,4e739)
(5ab,15dd) (203,15dd)
(1669,30ad) (2a19,30ad)
(bc45,66b69) (28a8d,66b69)
(6ef3,9d63) (180b,9d63)
(2b,43f7) (3fd3,43f7)
(46463,4abdf) (220d3,4abdf)
(7cf9,396b5) (1fa1,396b5)
(b11d,167d5) (7829,167d5)
(6a259,6c7fd) (1bf29,6c7fd)
(2a29,22e41) (19c19,22e41)
(29c47,4b6af) (397f,4b6af)
(86f3,55d17) (4d6f3,55d17)
(5f4ed,d56eb) (a2f95,d56eb)
(5f7b,8081) (3eff,8081)
(10655,51a01) (22865,51a01)
(34ad1,41239) (23155,41239)
(32c5,cf01) (1bbd,cf01)
(3433d,86e33) (4fa75,86e33)
(67e7,837d) (7f57,837d)
(1026d,118b1) (4225,118b1)
(24a9,7273) (2799,7273)
(f1f,1157) (6df,1157)
(2aeab,357a7) (1254b,357a7)
(201d1,40b65) (1b371,40b65)
(14d69,1c981) (6839,1c981)
(b399,2add9) (27329,2add9)
(12cc7,3c1fd) (333df,3c1fd)
(4f0f,29f7d) (15b2f,29f7d)
(3ec8d,4243d) (1e6c5,4243d)
(e9b,123af) (9f53,123af)
(1f67,3cb3) (26e7,3cb3)
(50f,2023) (194f,2023)
(2ccb,1864f) (10bd3,1864f)
(1e2f,21a3) (19c7,21a3)
(c81b,47251) (2c213,47251)
(aebf,1ad9d) (1643f,1ad9d)
(6d92f,b8d7d) (9597,b8d7d)
(549b3,60b1b) (29c4b,60b1b)
(1d0c5,262f7) (232ed,262f7)
(2ed29,bd0f7) (3781,bd0f7)
(83e1,162f5) (4421,162f5)
(99d1,e5b1) (1b71,e5b1)
(78769,86c71) (1fe59,86c71)
(71439,9412f) (3a929,9412f)
(1ced,3e47) (3995,3e47)
(867b,10c21) (661b,10c21)
(190b9,2b09f) (123b9,2b09f)
(10ce9,66883) (4499,66883)
(1d40f,54bc5) (335ef,54bc5)
(b593,310d5) (9fdf,310d5)
(2708b,3b66b) (b123,3b66b)
(1bd97,22265) (20d47,22265)
(78583,7ad13) (39c1b,7ad13)
(a823,426fb) (a56b,426fb)
(133d,1687) (f35,1687)
(211c7,49229) (39d37,49229)
(66be9,7390f) (5d6d9,7390f)
(215b7,68e91) (b267,68e91)
(1a2ed,7cbfb) (20905,7cbfb)
(275a7,53f47) (12ff7,53f47)
(39b,20f9) (141b,20f9)
(61add,a07d7) (d4f5,a07d7)
(899,59a7) (11f9,59a7)
(2ce1,ea07) (7859,ea07)
(3a435,b07bf) (273d,b07bf)
(64fef,7c459) (2980f,7c459)
(3414f,abecb) (5bbbf,abecb)
(e4e3,55957) (4a9f3,55957)
(30a2b,439df) (2508b,439df)
(10111,552f1) (4f389,552f1)
(68b3,22a63) (1031b,22a63)
(8245,ccaf) (a1ad,ccaf)
(1e2e3,2f9b1) (1903,2f9b1)
(fa2d,6f61d) (69ff1,6f61d)
(12cf7,656b3) (13897,656b3)
(57575,819d3) (314dd,819d3)
(e2e1,fd27) (56b9,fd27)
(725,13a75) (3d0d,13a75)
(339e3,39893) (263f3,39893)
(138ed,18d27) (64e5,18d27)
(47e1,1547b) (3391,1547b)
(35411,38bcf) (78a1,38bcf)
(1a93,5ca5) (579b,5ca5)
(165b5,1ec65) (1a67d,1ec65)
(3f19,5287) (1d71,5287)
(211,431) (271,431)
(1a0e1,1f0d3) (4ba1,1f0d3)
(2e81d,49091) (48695,49091)
(1fb5,32597) (19f0d,32597)
(1bc5,50dd) (274d,50dd)
(22d7b,28a63) (ab6b,28a63)
(1c6ff,36269) (305ef,36269)
(2f09,7b1f) (1181,7b1f)
(2820b,35e91) (18b1b,35e91)
(1f5ef,3e255) (39e6f,3e255)
(7b13,2572d) (401b,2572d)
(4faf,6acf) (2fff,6acf)
(59f9,d87d) (149,d87d)
(29b9,10619) (a309,10619)
(2347,b87f) (58e7,b87f)
(2ccf,477b) (42d7,477b)
(ddf,1def) (1cdf,1def)
(11b0d,93f37) (4900d,93f37)
(2443,4caf) (14cb,4caf)
(43b25,85cd9) (259bd,85cd9)
(a8121,c678d) (50311,c678d)
(dcbd,58e3d) (17c95,58e3d)
(2cf3,4f7f) (3e7b,4f7f)
(62cc9,b92e1) (84e81,b92e1)
(38a8f,7dd73) (41e07,7dd73)
(50d5,ff3b) (fc05,ff3b)
(1f8d,324d) (255d,324d)
(f4eb,28a63) (24f23,28a63)
(32db9,79a35) (19949,79a35)
(5166d,73013) (2c845,73013)
(c097,10c49) (9547,10c49)
(1bf5b,2d3f1) (d8d3,2d3f1)
(3805,3959) (23ad,3959)
(127fb,33835) (1b333,33835)
(4379,6a33) (809,6a33)
(18481,24da3) (1f561,24da3)
(1f23,17a49) (1010b,17a49)
(2a4db,abd07) (107cb,abd07)
(4d8cd,6548f) (5ef85,6548f)
(b47f,1af99) (e47f,1af99)
(6c59,7775) (12e9,7775)
(a25,3187) (91d,3187)
(17df1,3e0db) (24e11,3e0db)
(ac73,c745) (8783,c745)
(30c43,5a2c5) (37e2b,5a2c5)
(35f69,4ea0d) (3682d,4ea0d)
(32c0f,62a7d) (50fb7,62a7d)
(34e17,c5aa7) (16b47,c5aa7)
(aa51,f6a3) (c131,f6a3)
(1a5bf,4df89) (300f,4df89)
(89db,564a9) (3a157,564a9)
(d207,4399d) (21157,4399d)
(1139f,150cd) (133f7,150cd)
(1b6d9,aa273) (98401,aa273)
(804a5,aff1b) (5d48d,aff1b)
(e15f,27f73) (120bf,27f73)
(10ff7,195a7) (c527,195a7)
(6307,c6e8d) (28237,c6e8d)
(4b155,69761) (5128d,69761)
(31c61,53d6b) (74e1,53d6b)
(b0d,b101) (70c5,b101)
(50e7,b297) (4d9f,b297)
(6215,ab53) (376d,ab53)
(21bff,3bfef) (19937,3bfef)
(10951,682fd) (45991,682fd)
(10cd,2621) (935,2621)
(17ea9,49c45) (15911,49c45)
(6db79,8de2f) (19a29,8de2f)
(97b5,2bbe9) (26e9d,2bbe9)
(6e1d,349c1) (1f2b5,349c1)
(129d,38a5) (2035,38a5)
(fa9,2cf9) (2269,2cf9)
(842ad,91fc1) (48ec5,91fc1)
(49c85,8502b) (47e9d,8502b)
(2ee05,a3a41) (46319,a3a41)
(3fd2d,49bd9) (565,49bd9)
(229,a8d) (6d9,a8d)
(49df,5ff9) (1e47,5ff9)
(25b7,5531) (2407,5531)
(34e07,37219) (15db7,37219)
(5a67,ee5d) (c4e7,ee5d)
(424b7,b77e5) (223e7,b77e5)
(148a9,1e2b9) (14175,1e2b9)
(16207,5d94f) (d517,5d94f)
(3ea13,3f451) (3d01b,3f451)
(d6c7,7a98d) (2f2f7,7a98d)
(5ca5,31ad5) (553d,31ad5)
(63bb1,745cd) (117d1,745cd)
(2b94b,7901b) (5a2e3,7901b)
(1e58f,24479) (c64f,24479)
(4bcb,21a1f) (20633,21a1f)
(f4df,1ca5f) (13c7f,1ca5f)
(21ef9,3dd4d) (161ed,3dd4d)
(5a57,8e33) (1ca7,8e33)
(d9bb,4a30f) (bf33,4a30f)
(62b9f,829f3) (5962f,829f3)
(1246f,5264b) (3067f,5264b)
(3e0bf,518ff) (11f5f,518ff)
(9cf5,13127) (e59d,13127)
(24d69,2524f) (179d9,2524f)
(bf9,5059) (2bfd,5059)
(6625,88b5) (6859,88b5)
(509,1f61) (509,1f61)
(11671,24247) (156c1,24247)
(12431,1621d) (7ed1,1621d)
(3f71b,5dc47) (4af53,5dc47)
(1481,58fe7) (3cee1,58fe7)
(10df,d90f) (a04f,d90f)
(510e3,6d7ad) (68c0b,6d7ad)
(1c565,29627) (accd,29627)
(115c9,1ec79) (67bd,1ec79)
(11c9b,2540f) (1b92b,2540f)
(f511,6a6f7) (f169,6a6f7)
(49a9,1703b) (15e99,1703b)
(3caab,6a70b) (29203,6a70b)
(1d2d,14711) (137d5,14711)
(653,11bd) (a8b,11bd)
(10cc9,172d9) (1590d,172d9)
(3cf5,8d55) (81dd,8d55)
(b9,21efb) (8c09,21efb)
(43979,4f1db) (ff71,4f1db)
(a12d,10477) (3995,10477)
(7111f,8747f) (79d8f,8747f)
(d0d,5e99) (4b65,5e99)
(3bed,4c5d3) (349d,4c5d3)
(feb9,2db7d) (9aa5,2db7d)
(26ccb,4c35d) (14e3,4c35d)
(7701,8a0d) (1dcd,8a0d)
(149cf,29bf7) (21287,29bf7)
(3c35b,cf587) (c6763,cf587)
(63d7,1968d) (e0f,1968d)
(100f3,31e65) (254fb,31e65)
(34711,42875) (27bf5,42875)
(209f,7a8d) (167f,7a8d)
(3ebf5,bd7e1) (77a5d,bd7e1)
(2b9,e1b) (859,e1b)
(27087,444b5) (10ceb,444b5)
(50c9b,6498b) (6083b,6498b)
(175,148f1) (2ac1,148f1)
(6281,25853) (c0a1,25853)
(36f7,3b2f) (1e67,3b2f)
(29c1d,6bbc9) (1b1d5,6bbc9)
(2971,4495) (3e11,4495)
(4b5,a51) (8c9,a51)
(239d,29ad) (13d,29ad)
(74b,863) (463,863)
(31925,3aca9) (a2ad,3aca9)
(94687,b8549) (a7737,b8549)
(de01,42745) (2d181,42745)
(1f529,3f01f) (11de9,3f01f)
(18825,c40c9) (80191,c40c9)
(1cc7,46d0f) (32b7,46d0f)
(373,f3b5) (5f1b,f3b5)
(12af,2bc3) (c2f,2bc3)
(7131,79dd1) (21051,79dd1)
(2cc55,37cbd) (1c6fd,37cbd)
(44851,5711f) (25a29,5711f)
(79efb,85757) (8151b,85757)
(10add,67e19) (47f35,67e19)
(6ce9,b5b5) (1b59,b5b5)
(15e5d,36719) (27ab5,36719)
(3ad57,a76e9) (58837,a76e9)
(66e87,6edd3) (536b7,6edd3)
(8dfd3,b2b73) (554e3,b2b73)
(37bd,2bb77) (7d95,2bb77)
(37aab,3e90f) (163d3,3e90f)
(13d95,19ca9) (24d,19ca9)
(d47,5f0b) (2e3f,5f0b)
(7958f,ce26d) (c5453,ce26d)
(241b1,2fc59) (2b4dd,2fc59)
(d2eb,3d8a3) (276f3,3d8a3)
(8b4f,9703) (872f,9703)
(1f223,39acd) (1b18b,39acd)
(db,385) (13,385)
(1295,464f) (39dd,464f)
(32ab,4cb7) (3b43,4cb7)
(208d,787f) (19d,787f)
(2211,110a1) (a5dd,110a1)
(f1d,506fb) (10535,506fb)
(74861,7a41f) (2d461,7a41f)
(84f1,43e3d) (8f1d,43e3d)
(af31,183e5) (a301,183e5)
(18161,32b57) (10b41,32b57)
(2a05b,43529) (3ce53,43529)
(dc8f1,e9483) (81cf1,e9483)
(e3ad,f7c9) (ce95,f7c9)
(57551,5c483) (cb9,5c483)
(45d,218b) (1e85,218b)
(6839,7411) (11f9,7411)
(3884f,681a3) (49b2f,681a3)
(1a4b3,72e99) (4b5db,72e99)
(87f5,8f29) (6eb1,8f29)
(1c87b,1d779) (13bb3,1d779)
(8d1,b5f) (251,b5f)
(4053,837d) (89b,837d)
(8a85,14803) (774d,14803)
(e99,7c87) (3ba9,7c87)
(1a0f,159d3) (da0f,159d3)
(9e17,4185d) (185a7,4185d)
(3849d,63013) (4c6bd,63013)
(20acd,ba9a9) (18419,ba9a9)
(37d7,3cd3) (209f,3cd3)
